username,edit_iteration,revert_iteration,protected_contribs,protected_reverts,total_contribs,total_reverts,registration,ec_timestamp,pro_palestine,pro_israel
Strattonsmith,1,,2,0,674,,2021-01-14T17:47:03Z,2021-02-13T19:12:00Z,,
Editrite!,1,,0,0,342,,2016-02-06T02:33:43Z,2019-09-04T02:07:29Z,,
OwenX,1,,2,0,511,,2004-12-29T20:59:05Z,,,
Lavictus,1,,23,0,47,,2024-09-05T13:11:48Z,,,
Ye9CYNMD,1,,5,0,24,,2022-03-31T17:37:57Z,2024-08-21T02:25:46Z,,
Yoshi876,1,,0,0,67,,2012-03-18T08:05:16Z,2016-04-06T17:58:20Z,,
JPHC2003,1,,6,0,137,,2022-07-18T18:07:20Z,2024-08-17T20:58:58Z,,
StefenTower,1,,0,0,7830,,2004-03-20T22:40:45Z,2016-04-05T23:35:42Z,,
David A,1,,16,0,43,,2006-02-01T18:38:55Z,2016-04-11T20:20:27Z,,
Scarykitty,1,,0,0,5,,2004-12-24T06:33:13Z,2016-05-11T17:25:17Z,,
Family27390,1,,15,0,1049,,2020-07-15T18:44:39Z,2022-11-25T11:47:04Z,,
Paditor,1,,0,0,147,,2016-06-27T22:55:29Z,2024-08-14T11:35:12Z,,
Raskolnikov.Rev,1,,85,0,173,,2015-02-20T12:15:17Z,2024-07-26T20:59:03Z,,
BootsED,1,,31,0,117,,2021-01-21T06:35:09Z,2024-03-30T19:01:59Z,,
QuicoleJR,1,,2,0,175,,2023-01-16T12:38:19Z,2023-02-24T15:30:11Z,,
TRCRF22,1,,6,0,34,,2021-12-28T22:33:25Z,2024-01-23T13:09:40Z,,
AlsoWukai,1,,42,0,275,,2018-08-16T22:32:19Z,2018-11-20T02:35:54Z,,
Cdjp1,1,,68,0,470,,2015-08-13T06:09:31Z,2017-04-29T08:31:23Z,,
GranChi,1,,0,0,12,,2012-09-05T20:29:46Z,2023-09-18T22:35:18Z,,
Hobbes090414,1,,0,0,16,,2023-10-21T18:06:55Z,2024-01-26T04:56:58Z,,
DuncanHill,1,,8,0,458,,2006-07-05T22:03:05Z,2016-04-06T15:20:22Z,,
RMCD bot,1,3.0,15,0,6999,0.0,2012-07-24T22:16:20Z,,,
BangladeshiEditorInSylhet,1,,61,0,1948,,2023-11-29T18:35:00Z,2024-05-13T10:17:16Z,1.0,
Super Dromaeosaurus,1,,11,0,98,,2016-03-16T20:28:38Z,2017-12-23T12:25:46Z,,
Chuckstablers,1,,12,0,14,,2019-01-07T22:33:06Z,2023-11-12T02:51:47Z,,
ClaudineChionh,1,,2,0,239,,2001-10-27T10:32:09Z,2016-04-07T03:13:53Z,,
SPECIFICO,1,,11,0,60,,2012-09-01T13:42:12Z,2016-04-05T23:20:25Z,,
IntrepidContributor,1,1.0,46,4,33,2.0,2022-07-10T21:07:20Z,2022-09-29T16:00:49Z,,
Levivich,1,2.0,141,108,356,6.0,2018-11-12T05:10:43Z,2018-12-12T05:50:00Z,,
81567518W,1,,0,0,5,,2020-01-28T19:55:53Z,2024-07-02T12:12:44Z,,
Personisinsterest,1,,43,0,113,,2023-10-06T18:44:37Z,2024-02-01T01:41:05Z,,
Howardcorn33,1,,0,0,377,,2020-06-17T08:08:32Z,2023-12-23T01:32:27Z,,
Shapeyness,1,,0,0,44,,2016-03-23T16:38:19Z,2018-04-21T20:00:35Z,,
CorrectionsJackal,1,,5,0,331,,2020-10-24T03:19:18Z,2023-03-07T02:59:46Z,,
Florian Blaschke,1,,3,0,168,,2006-03-26T01:26:19Z,2016-04-06T12:02:17Z,,
Dotyoyo,1,,0,0,23,,2009-03-14T17:55:41Z,2024-01-14T00:16:05Z,,
טבעת-זרם,1,1.0,79,0,113,0.0,2008-06-03T20:38:45Z,2016-06-16T13:09:32Z,,1.0
GreenC bot,1,,46,0,61844,,2016-03-13T16:05:44Z,,,
Jbbdude,1,,17,0,19,,2006-01-14T23:56:31Z,2016-10-29T01:39:49Z,,
Cowboygilbert,1,,2,0,691,,2023-07-18T01:03:06Z,2024-02-28T18:46:45Z,,
TheCherryPanda,1,,0,0,6,,2018-09-19T11:24:28Z,2024-03-21T22:40:16Z,,
Koopatrev,1,,0,0,3,,2012-04-25T09:08:46Z,2016-04-06T09:47:25Z,,
Dhantegge,1,,0,0,137,,2024-03-18T02:14:19Z,2024-07-20T08:56:34Z,,
BilledMammal,1,,4,0,1153,,2019-04-24T05:03:07Z,2021-07-03T05:11:48Z,,
Ethanexo,1,,2,0,131,,2016-06-03T18:47:30Z,2016-08-15T17:37:58Z,,
Isaidnoway,1,,2,0,1059,,2012-03-23T16:20:02Z,2016-04-10T23:46:33Z,,
NadVolum,1,,3,0,47,,2021-08-18T15:29:38Z,2021-10-16T19:57:29Z,,
Lf8u2,1,,2,0,37,,2008-11-23T20:19:21Z,2024-06-17T03:56:47Z,,
Galamore,1,1.0,31,8,60,1.0,2023-12-25T10:04:36Z,2024-03-26T07:13:43Z,,
Ïvana,1,,9,0,375,,2018-12-30T03:18:13Z,2020-11-12T17:15:17Z,,
WikiCleanerBot,1,,2,0,7153,,2013-04-20T08:26:16Z,2016-09-06T02:26:55Z,,
Ira Leviton,1,,8,0,2188,,2015-05-02T20:30:17Z,2016-04-06T01:06:26Z,,1.0
FourPi,1,,167,0,344,,2024-04-24T06:42:09Z,2024-07-25T20:07:10Z,,
TagaworShah,1,,3,0,8,,2021-01-08T17:09:17Z,2021-02-18T19:52:01Z,,
Borgenland,1,,573,0,3506,,2022-06-21T16:23:32Z,2022-07-30T17:06:09Z,,
Sunuraju,1,,12,0,387,,2010-01-05T02:26:03Z,2016-04-06T15:22:03Z,,
Chomik1129,1,,165,0,227,,2023-07-07T19:28:27Z,2023-11-11T20:10:59Z,,
Matarisvan,1,,10,0,302,,2023-09-06T07:08:08Z,2023-11-14T21:41:59Z,,
The Mountain of Eden,1,,195,0,452,,2024-04-30T21:39:21Z,2024-07-28T01:56:18Z,,
DocWatson42,1,,6,0,932,,2004-01-16T00:29:51Z,2016-04-06T04:42:54Z,,
ThePaganUK,1,,50,0,68,,2020-02-15T20:22:21Z,2021-06-23T11:59:13Z,,
Qhairun,1,,3,0,9,,2021-08-09T10:01:42Z,2022-09-07T11:08:06Z,,
ElijahPepe,1,,41,0,173,,2019-09-07T01:06:29Z,2022-03-20T16:03:11Z,,
Jlwoodwa,1,,3,0,3782,,2023-04-20T19:12:52Z,2023-06-09T11:37:52Z,,
Relspas,1,,2,0,53,,2019-09-25T13:56:50Z,2023-02-05T16:53:53Z,,
Arjayay,1,,10,0,3809,,2007-11-01T15:33:50Z,2016-04-06T07:17:17Z,,
HuntersHistory,1,,8,0,41,,2023-08-05T05:22:44Z,2023-09-04T12:50:59Z,,
Dr vulpes,1,,0,0,2690,,2017-05-07T04:29:26Z,2025-01-26T19:41:28Z,,
أمين,1,,0,0,17,,2014-02-13T12:58:37Z,2020-03-15T14:22:55Z,1.0,
JJMC89 bot III,1,,2,0,65629,,2019-02-24T00:18:52Z,,,
Smallangryplanet,1,,0,0,63,,2021-01-12T19:46:30Z,2022-05-21T09:05:11Z,1.0,1.0
70.30.38.242,1,,12,0,367,,,,,
Wafflefrites,1,,24,0,69,,2022-05-04T22:17:55Z,2023-01-05T05:59:37Z,,
Headbomb,1,,0,0,816,,2006-05-18T14:44:40Z,2016-04-05T23:42:46Z,,
OAbot,1,,0,0,1867,,2016-06-03T17:03:59Z,2018-05-11T23:05:38Z,,
Johnkatz1972,1,,4,0,91,,2008-02-16T14:56:53Z,2016-04-15T08:22:45Z,,
Cgixn,1,,6,0,13,,2015-07-03T08:01:49Z,2024-05-28T04:27:19Z,,
Shushugah,1,,0,0,250,,2015-05-22T14:35:40Z,2018-08-29T00:41:12Z,1.0,
Bluethricecreamman,1,,15,0,251,,2013-01-31T23:51:47Z,2024-02-18T16:23:32Z,1.0,
The Great Mule of Eupatoria,1,,19,0,73,,2021-09-28T07:49:47Z,2022-02-05T04:06:33Z,,
Buidhe,1,,3,0,444,,2012-04-19T19:14:37Z,2017-01-10T19:46:19Z,,
GreenC,1,,0,0,369,,2009-02-08T16:59:14Z,2016-04-05T23:53:17Z,,
אקסינו,1,,70,0,147,,2020-03-14T17:55:31Z,2024-06-21T08:03:18Z,,1.0
Foxy Husky,1,,0,0,74,,2024-04-07T16:50:11Z,2024-08-22T16:38:11Z,,
Smasongarrison,1,,23,0,9799,,2012-01-29T06:30:36Z,2016-04-07T08:52:17Z,,
HapHaxion,1,1.0,4,0,562,2.0,2010-11-24T21:51:20Z,2017-01-26T06:06:11Z,,
Ecangola,1,,6,0,1818,,2017-07-03T13:34:00Z,2017-08-03T13:34:39Z,,
Bloxzge 025,1,,20,0,608,,2024-06-12T11:28:49Z,2024-07-20T15:56:31Z,,
RamHez,1,,18,0,44,,2020-04-02T02:23:14Z,2023-10-07T09:58:37Z,,
Cannolis,1,,0,0,54,,2009-04-21T12:12:49Z,2016-04-07T01:14:17Z,,
Askhaiz,1,,0,0,137,,2006-06-16T17:53:28Z,2016-06-06T17:12:49Z,,
Nythar,1,,6,0,3122,,2022-04-26T03:07:22Z,2022-05-26T03:09:28Z,,
2600:1700:F180:C720:D584:39B:FC83:EAA4,1,,3,0,3,,,,,
אדומיניק,1,,2,0,4,,2019-05-26T13:13:55Z,,,1.0
JoeNMLC,1,,0,0,2969,,2020-05-01T23:27:58Z,2020-06-01T13:25:37Z,,
Miminity,1,,3,0,1181,,2024-03-22T00:36:31Z,2024-05-24T02:20:07Z,,
Eliezer1987,1,,25,0,46,,2015-09-25T07:27:02Z,2022-05-02T18:01:04Z,,
Iwaqarhashmi,1,,0,0,917,,2022-11-18T17:43:43Z,2022-12-21T05:19:24Z,,
Linkin Prankster,1,,169,0,232,,2022-05-17T15:32:35Z,2022-10-05T09:21:01Z,,
Frost,1,,12,0,5993,,2017-02-07T02:18:16Z,2020-03-03T21:37:40Z,,
2601:147:4A81:3800:7D63:CD90:9E70:1560,1,,2,0,2,,,,,
Dylanvt,1,,13,0,38,,2012-04-10T00:05:33Z,2016-04-10T16:46:58Z,,
Sikander,1,,0,0,11,,2005-04-22T00:15:34Z,2016-09-17T23:11:25Z,,
45.233.252.254,1,,2,0,3,,,,,
BoyTheKingCanDance,1,,4,0,2110,,2008-12-18T21:59:10Z,2016-04-06T06:00:44Z,,
Loymdayddaud,1,,2,0,254,,2024-07-14T12:50:19Z,2024-09-09T09:20:03Z,,
Snowstormfigorion,1,1.0,5,12,64,2.0,2023-05-29T20:10:42Z,2023-06-29T15:46:15Z,,
Cewbot,1,,8,0,53055,,2015-01-01T05:33:54Z,,,
إيان,1,,0,0,55,,2012-11-25T00:47:37Z,2019-05-23T20:36:37Z,1.0,
ViridianPenguin,1,,0,0,118,,2019-12-05T04:01:46Z,2023-01-22T20:51:04Z,,
Rebestalic,1,,0,0,41,,2018-08-08T03:44:13Z,2018-10-14T05:38:34Z,,
PhotogenicScientist,1,,21,0,69,,2022-08-18T21:44:42Z,2022-12-06T17:46:07Z,,
Poketape,1,,3,0,368,,2007-01-31T04:08:14Z,2022-08-22T20:05:49Z,,
Aydoh8,1,,4,0,134,,2020-06-30T06:33:19Z,2023-08-17T02:40:57Z,,
GoingBatty,1,,2,0,2271,,2010-01-29T01:04:30Z,2016-04-06T02:07:40Z,,
Ravenpuff,1,,0,0,567,,2014-08-09T09:22:50Z,2016-10-13T22:54:17Z,,
Cactinites,1,,2,0,29,,2021-02-09T08:03:20Z,2021-07-01T15:01:32Z,1.0,
Un assiolo,1,,2,0,365,,2021-01-05T18:18:16Z,2021-04-17T00:48:22Z,,
Alaexis,1,,17,0,84,,2006-09-27T19:44:54Z,2016-04-26T18:29:24Z,,
Sergi.mia,1,,0,0,9,,2010-05-29T16:23:41Z,2016-07-29T16:06:43Z,,
M.Bitton,1,,5,0,255,,2015-02-16T00:20:51Z,2017-04-11T01:02:14Z,,
WillNess,1,1.0,3,2,11,1.0,2009-10-22T20:37:28Z,2016-04-07T16:42:43Z,,
Dustfreeworld,1,3.0,8,0,71,0.0,2022-12-29T18:42:45Z,2023-04-23T09:16:05Z,,
Renamed user 941cc78c00a0c5924c78bcbe91e8541a,1,,0,0,30,,2018-12-02T18:53:17Z,2023-05-01T21:22:43Z,,
DeputyBeagle,1,,0,0,20,,2017-10-25T18:08:16Z,2024-05-10T08:13:41Z,,
Mudwater,1,,0,0,84,,2006-12-17T16:08:31Z,2016-04-07T00:19:15Z,,
Mercer17,1,,5,0,170,,2017-09-05T21:00:16Z,2019-12-08T00:32:51Z,,
Trappist the monk,1,,0,0,412,,2009-08-09T16:35:26Z,,,
AirshipJungleman29,1,,0,0,891,,2016-03-31T11:32:56Z,2020-06-20T13:02:58Z,,
JohnAdams1800,1,,7,0,557,,2022-08-21T00:31:03Z,2023-03-15T16:31:15Z,,
Waonderer,1,,2,0,134,,2023-06-07T20:35:10Z,2024-03-03T16:46:28Z,,
EmilePersaud,1,,2,0,4,,2019-05-08T04:25:47Z,2024-05-13T13:41:14Z,,
Natemup,1,,0,0,348,,2011-04-12T19:25:41Z,2019-04-11T14:24:06Z,,
CommunityNotesContributor,1,,12,0,120,,2023-11-10T22:15:42Z,2023-12-11T13:54:51Z,,
Richard Nowell,1,,10,0,15,,2006-02-17T11:38:54Z,2016-04-19T09:40:59Z,,
Tsarivan613,1,,2,0,576,,2021-02-19T21:22:29Z,2024-02-27T23:48:43Z,,
Eastfarthingan,1,,3,0,144,,2009-12-08T13:16:23Z,2016-04-06T11:03:03Z,,
GünniX,1,,0,0,1203,,2005-04-14T07:21:16Z,2016-04-06T05:07:38Z,,
Arminden,1,,49,0,481,,2011-08-31T18:46:26Z,2016-04-05T23:17:56Z,,
UnspokenPassion,1,1.0,43,6,70,1.0,2024-03-28T15:29:37Z,2024-08-11T14:50:21Z,,
The joy of all things,1,,0,0,1136,,2015-10-05T23:13:26Z,2016-04-06T09:42:11Z,,
Gianluigi02,1,,40,0,298,,2016-05-18T11:11:13Z,2016-11-30T20:47:26Z,,
Achmad Rachmani,1,,2,0,1320,,2014-04-03T06:10:04Z,2022-05-29T01:46:14Z,,
Genabab,1,,13,0,50,,2021-10-07T07:56:27Z,2023-08-19T22:55:34Z,,
Starship.paint,1,,47,0,581,,2011-05-14T06:41:00Z,2016-04-06T00:32:33Z,,
יורם שורק,1,,2,0,4,,2008-05-30T12:41:45Z,2024-05-26T06:07:13Z,1.0,1.0
Golem469,1,,92,0,255,,2023-11-10T01:48:53Z,2024-05-25T14:46:30Z,,
ABHammad,1,,22,0,52,,2022-09-20T16:42:22Z,2023-02-15T05:31:24Z,,
Amigao,1,,12,0,787,,2009-11-25T19:43:07Z,2016-12-25T20:43:21Z,,
AllPurposeScientist,1,,0,0,8,,2007-08-01T06:04:58Z,2016-09-03T20:55:26Z,,
Aquila89,1,,4,0,69,,2008-10-26T13:50:48Z,2016-04-07T18:30:18Z,,
Kalpesh Manna 2002,1,,3,0,234,,2020-03-11T07:56:54Z,2023-09-04T16:36:02Z,,
99.196.129.168,1,,0,0,15,,,,,
Syaz351,1,,0,0,188,,2017-05-04T08:25:05Z,2020-09-24T04:28:47Z,,
Wikishovel,1,,4,0,2610,,2016-10-16T06:27:21Z,2016-11-15T06:38:54Z,,
77.29.183.5,1,,5,0,5,,,,,
Drsruli,1,,4,0,54,,2016-09-18T05:23:16Z,2020-11-30T07:02:08Z,,
Anachronist,1,,2,0,344,,2006-01-21T02:02:29Z,2024-02-06T18:23:02Z,,
JasonMacker,1,,3,0,23,,2012-07-10T11:40:55Z,2024-04-29T19:07:29Z,,
HadesTTW,1,,0,0,16,,2013-07-02T00:50:19Z,2021-10-11T16:14:04Z,,
GoodDay,1,,0,0,731,,2005-11-17T22:35:49Z,2016-04-05T23:18:56Z,,
Mag1cal,1,,2,0,2,,2018-11-19T14:05:58Z,2019-04-01T21:53:32Z,,
Benjitheijneb,1,,3,0,6,,2011-11-12T12:37:59Z,2016-04-19T18:46:20Z,,1.0
मल्ल,1,,3,0,56,,2022-09-15T14:59:58Z,2023-05-22T20:10:20Z,,
Lowercase sigmabot III,1,,4,0,12578,,2012-09-16T06:41:27Z,,,
Kowal2701,1,,3,0,609,,2023-02-02T18:20:37Z,2024-02-22T17:48:47Z,,
Swordman97,1,,0,0,4,,2011-08-28T19:31:53Z,2020-10-27T05:43:28Z,,
WikiFouf,1,,6,0,125,,2017-04-12T03:20:19Z,2024-04-03T03:55:16Z,,
Reenem,1,,23,0,71,,2008-07-13T23:03:22Z,2016-04-06T10:02:08Z,,
Vanilla Wizard,1,,6,0,36,,2016-07-27T03:29:55Z,2017-09-17T21:07:25Z,,
Hydrangeans,1,,2,0,314,,2021-01-13T21:17:27Z,2021-11-22T00:03:07Z,,
Mast303,1,,2,0,27,,2022-11-25T22:02:57Z,2023-01-30T05:13:32Z,,
نعم البدل,1,,6,0,40,,2022-02-07T16:42:07Z,2022-10-12T05:42:08Z,1.0,
ScottishFinnishRadish,1,,10,0,942,,2021-01-22T12:46:27Z,2024-10-07T16:57:03Z,,
Lewisguile,1,,0,0,234,,2018-01-04T18:39:33Z,2024-05-20T07:45:17Z,,
FOARP,1,,0,0,165,,2007-10-25T18:20:29Z,2016-04-16T09:50:28Z,,
GeoffreyA,1,,4,0,48,,2012-01-04T09:13:23Z,2024-03-06T16:27:09Z,,
RossoSPC,1,,2,0,8,,2022-09-10T16:48:01Z,2024-06-18T00:51:12Z,,
Shadowwarrior8,1,,3,0,71,,2020-02-07T03:08:15Z,2021-03-20T21:37:21Z,,
SilverLocust,1,,0,0,762,,2015-12-01T05:36:00Z,2025-03-09T17:56:44Z,,
3Kingdoms,1,,3,0,113,,2020-10-17T18:18:37Z,2021-01-30T17:15:05Z,,
FortunateSons,1,,15,0,110,,2023-09-15T14:26:48Z,2024-01-09T01:27:53Z,,1.0
Stephan rostie,1,,8,0,16,,2023-02-18T03:48:21Z,2023-08-07T12:28:50Z,,
Abo Yemen,1,,10,0,758,,2023-05-15T13:55:03Z,2023-07-30T17:04:20Z,1.0,
Alexysun,1,,12,0,240,,2018-04-25T01:50:52Z,2022-11-28T04:41:09Z,,
Gödel2200,1,,6,0,86,,2023-04-26T18:20:59Z,2023-06-06T12:32:01Z,,
Oneequalsequalsone,1,,2,0,30,,2022-03-20T17:32:49Z,2024-06-25T12:27:48Z,,
StarkReport,1,,2,0,159,,2022-10-26T12:34:41Z,2023-02-07T14:46:41Z,,
GnocchiFan,1,,0,0,100,,2023-05-06T20:49:58Z,2023-07-13T20:06:01Z,,
Chicdat,1,,2,0,6,,2020-02-15T16:44:04Z,2020-03-19T11:23:37Z,,
XavierGreen,1,,5,0,22,,2007-01-05T16:33:22Z,2016-04-06T00:22:00Z,,
Jeaucques Quœure,1,,2,0,54,,2022-09-15T06:32:22Z,2024-01-04T14:41:47Z,,
LuxembourgLover,1,,0,0,48,,2022-04-20T01:24:53Z,2023-08-22T02:58:53Z,,
Clayoquot,1,,4,0,174,,2006-04-14T22:00:30Z,,,
TheJoebro64,1,,0,0,116,,2016-05-07T14:12:06Z,2017-02-03T21:41:19Z,,
Benpiano800,1,,2,0,51,,2018-10-01T21:17:43Z,2024-07-12T16:56:54Z,,
Royiswariii,1,,0,0,335,,2024-07-17T19:56:05Z,2024-08-18T07:57:36Z,,
Clear Looking Glass,1,,0,0,61,,2020-06-26T00:32:41Z,2020-09-26T01:46:38Z,,
InfiniteNexus,1,,2,0,1283,,2018-01-21T19:33:16Z,2020-12-26T19:03:39Z,,
Black roses124,1,,0,0,25,,2020-11-19T19:42:12Z,2021-07-21T04:18:37Z,,
Est. 2021,1,,2,0,56,,2021-01-09T23:34:14Z,2021-02-09T01:44:54Z,1.0,
Jeppiz,1,,0,0,44,,2009-07-12T20:29:21Z,2016-04-06T09:18:22Z,,
Ding Chavez,1,,0,0,8,,2006-08-15T17:54:26Z,2016-04-09T13:36:41Z,,
Boud,1,,7,0,203,,2003-03-12T19:24:29Z,2016-04-06T09:54:13Z,,
Explicit,1,,0,0,3172,,2007-07-11T22:38:49Z,2016-10-04T00:51:37Z,,
Fixer88,1,,0,0,1750,,2009-06-20T02:11:21Z,2016-04-12T20:02:42Z,,
RONI180,1,1.0,3,0,3,0.0,2024-08-27T18:19:12Z,,,
Prodrummer619,1,,5,0,61,,2021-05-03T16:24:07Z,2022-03-08T10:39:57Z,,
Bunnypranav,1,,7,0,634,,2021-03-18T05:14:13Z,2024-08-15T15:27:42Z,,
Dekimasu,1,,2,0,1060,,2006-07-30T05:51:50Z,2024-09-20T01:30:57Z,,
ZionniThePeruser,1,,0,0,86,,2024-01-21T19:57:19Z,2024-04-17T15:06:43Z,,
UtoD,1,,4,0,17,,2014-12-06T03:46:18Z,2016-11-23T04:12:18Z,,
Isabelle Belato,1,,4,0,186,,2009-11-04T18:15:33Z,2023-11-02T12:23:00Z,,
Scienceturtle1,1,,4,0,34,,2024-06-25T23:25:00Z,,,
185.182.71.19,1,1.0,0,0,6,0.0,,,,
Thegreatrebellion,1,,2,0,25,,2020-05-28T15:59:23Z,2021-05-11T20:50:56Z,,
WeatherWriter,1,,0,0,190,,2019-09-16T13:45:19Z,2020-01-21T19:40:27Z,,
Telfordbuck,1,,0,0,611,,2012-09-26T16:41:37Z,2016-04-10T14:59:11Z,,
Yeshivish613,1,,0,0,25,,2023-12-27T16:11:44Z,2024-11-21T21:40:00Z,,1.0
SuperGuy212,1,,0,0,18,,2017-04-03T15:04:33Z,2020-12-27T13:20:56Z,,
Bte3000,1,,0,0,24,,2023-06-23T17:35:57Z,,,
Sean.hoyland,1,,11,0,209,,2007-06-19T04:35:09Z,2016-04-06T05:17:35Z,,
NetanelWorthy,1,,2,0,2,,2022-02-09T18:07:55Z,,,
201.137.234.73,1,,0,0,4,,,,,
Gråbergs Gråa Sång,1,,6,0,535,,2009-03-06T14:58:46Z,2016-04-09T11:49:48Z,,
El C,1,,3,0,38,,2004-08-09T10:55:09Z,2023-08-16T10:58:02Z,,
Newimpartial,1,,0,0,19,,2008-08-04T14:33:06Z,2017-05-23T15:38:25Z,,
Berchanhimez,1,,5,0,34,,2020-05-03T11:46:01Z,2020-07-28T20:13:37Z,,
Wasianpower,1,,2,0,318,,2018-07-13T01:38:19Z,2022-12-13T05:07:55Z,,
Entropyandvodka,1,,3,0,8,,2014-09-02T05:50:20Z,2023-10-06T23:00:43Z,,
PBZE,1,,4,0,7,,2018-09-27T23:00:43Z,2021-01-26T04:11:23Z,,
XDanielx,1,,10,0,93,,2007-07-14T07:24:21Z,2024-03-01T08:42:00Z,,
SineBot,1,,14,0,1085,,2007-07-24T17:20:05Z,,,
KetchupSalt,1,,4,0,13,,2021-11-14T14:24:21Z,2024-01-26T09:43:06Z,,
Left guide,1,,0,0,1083,,2023-09-14T03:24:21Z,2023-10-14T09:17:36Z,,
ClueBot III,1,,7,0,7105,,2007-08-30T09:16:50Z,,,
Rockstone35,1,,2,0,10,,2007-04-14T03:15:31Z,2016-04-21T21:29:02Z,,
Let'srun,1,,0,0,181,,2022-07-12T21:51:45Z,2023-07-23T14:24:43Z,,
Springee,1,,2,0,58,,2008-03-21T02:27:18Z,2016-04-06T20:07:28Z,,
HumansRightsIsCool,1,,3,0,51,,2024-05-15T19:21:54Z,2024-07-25T08:41:13Z,,
Me Da Wikipedian,1,,2,0,69,,2024-03-28T19:28:25Z,2024-04-28T01:06:33Z,,
Some1,1,,0,0,27,,2009-01-10T18:14:14Z,2016-06-21T19:47:27Z,,
Blindlynx,1,,6,0,42,,2007-05-28T22:27:32Z,2020-10-02T14:34:46Z,,
AusLondonder,1,,0,0,1220,,2015-04-17T09:02:44Z,2016-04-05T23:21:02Z,,
My very best wishes,1,,8,0,54,,2009-07-08T14:07:27Z,2016-04-05T23:55:25Z,,
MarkiPoli,1,,7,0,49,,2014-03-31T08:12:42Z,2023-09-14T07:15:40Z,,
CybJubal,1,,0,0,65,,2020-03-30T14:23:25Z,2022-10-10T20:52:32Z,,
Animal lover 666,1,,0,0,15,,2020-12-06T18:43:08Z,2021-01-05T18:44:45Z,,
FunLater,1,,0,0,11,,2022-04-23T17:54:50Z,2023-05-09T12:49:09Z,,
NoonIcarus,1,,0,0,98,,2014-03-07T22:42:38Z,2016-08-07T03:41:57Z,,
Aj39896,1,,3,0,3,,2024-09-09T08:50:33Z,,,
107.127.0.16,1,1.0,2,0,2,0.0,,,,
Vuerqex,1,,0,0,6,,2008-09-28T20:00:26Z,2016-10-10T02:19:33Z,,
Chaotic Enby,1,,0,0,814,,2022-04-23T07:56:32Z,2022-09-28T13:48:48Z,,
Fortuna imperatrix mundi,1,,0,0,424,,2013-10-12T06:39:09Z,2016-04-06T10:16:55Z,,
