username,edit_iteration,revert_iteration,protected_contribs,protected_reverts,total_contribs,total_reverts,registration,ec_timestamp,pro_palestine,pro_israel
Zanahary,1.0,,2,0,154.0,,2015-12-31T15:53:52Z,2023-08-09T14:32:44Z,,
Liz,1.0,,0,0,4508.0,,2013-07-25T16:20:16Z,2025-03-04T22:26:47Z,,
JPxG,1.0,,0,0,1633.0,,2014-07-23T14:06:39Z,2024-08-15T02:21:12Z,,
Carrite,1.0,,0,0,368.0,,2008-12-28T19:00:06Z,2016-04-06T11:13:02Z,,
Lightiggy,1.0,,0,0,550.0,,2017-10-04T21:32:34Z,2022-01-04T02:01:05Z,,
The Sky Bot,1.0,,0,0,322.0,,2023-02-27T17:54:41Z,2024-05-10T18:49:12Z,,
Super Dromaeosaurus,1.0,,12,0,110.0,,2016-03-16T20:28:38Z,2017-12-23T12:25:46Z,,
Mhorg,1.0,,21,0,46.0,,2015-01-01T21:39:53Z,2021-02-15T06:22:21Z,,
Flemmish Nietzsche,1.0,,34,0,669.0,,2023-07-07T21:03:50Z,2024-03-31T02:23:23Z,,
CRau080,1.0,,5,0,130.0,,2018-06-04T20:41:29Z,2020-03-09T14:24:09Z,,
Smeagol 17,1.0,,7,0,219.0,,2008-05-26T08:14:03Z,2016-04-06T22:45:44Z,,
Procyon117,1.0,,12,0,1022.0,,2023-12-31T11:14:29Z,2024-01-30T11:59:47Z,,
WikiCleanerMan,1.0,,20,0,336.0,,2020-09-12T00:09:07Z,2021-01-17T18:03:46Z,,
Robby,1.0,,0,0,957.0,,2006-08-04T18:13:00Z,2016-04-06T07:16:00Z,,
BilletsMauves,1.0,,13,0,155.0,,2021-12-14T21:41:35Z,2022-01-29T15:44:06Z,,
Cloud200,1.0,,2,0,8.0,,2004-03-05T06:30:22Z,2016-04-15T19:36:21Z,,
Pietadè,1.0,,22,0,35.0,,2011-10-25T14:22:07Z,2016-04-07T08:10:04Z,,
Sneeuwschaap,1.0,,2,0,4.0,,2011-01-15T18:14:36Z,2016-04-05T23:22:59Z,,
Sinucep,1.0,,3,0,8.0,,2011-10-07T11:22:24Z,2022-03-30T17:35:00Z,,
Goszei,1.0,,2,0,102.0,,2019-05-12T22:13:16Z,2019-11-11T10:58:45Z,,
Volunteer Marek,1.0,,8,0,105.0,,2005-05-10T10:18:46Z,2016-04-06T00:22:50Z,,
Onel5969,1.0,,0,0,3490.0,,2009-11-06T03:47:43Z,2016-04-05T23:21:31Z,,
Gimmethegepgun,1.0,,0,0,11.0,,2008-10-21T18:45:07Z,2021-12-03T06:55:02Z,,
SugarRat,1.0,,0,0,12.0,,2011-07-31T05:29:57Z,2016-04-06T03:11:44Z,,
Johnuniq,1.0,,0,0,161.0,,2007-12-19T09:17:00Z,2024-10-23T23:55:25Z,,
91.210.251.11,1.0,,3,0,3.0,,,,,
T. Cadwallader Phloog,1.0,,0,0,19.0,,2013-11-23T12:04:54Z,2016-04-07T03:42:49Z,,
Yello231,1.0,,0,0,66.0,,2020-06-14T20:33:28Z,2023-02-02T20:43:29Z,,
ERZKIK,1.0,,4,0,4.0,,2023-12-01T14:56:55Z,,,
BlackStar1991,1.0,,3,0,13.0,,2022-07-31T10:33:12Z,,,
Yulia Romero,1.0,,8,0,156.0,,2006-01-21T22:40:45Z,2016-04-06T10:27:29Z,,
Hidden-markov,1.0,,0,0,15.0,,2014-04-27T13:17:36Z,,,
Fermiboson,1.0,,2,0,78.0,,2022-11-21T18:27:32Z,2023-10-19T13:23:46Z,,
Oleg Yunakov,1.0,,29,0,43.0,,2010-08-29T23:15:04Z,2022-07-29T17:22:35Z,,
MusikBot II,1.0,,4,0,551.0,,2016-10-30T20:25:35Z,,,
Chomik1129,1.0,,68,0,112.0,,2023-07-07T19:28:27Z,2023-11-11T20:10:59Z,,
Ae245,,2.0,0,0,,,,,,
NEET Scam,,2.0,0,0,,,2024-06-20T15:31:06Z,,,
Jokerroy88,,2.0,0,0,,,2021-01-16T13:33:21Z,2022-08-14T21:44:13Z,,
Unbandito,,2.0,0,0,,,,,,
Relspas,1.0,,3,0,12.0,,2019-09-25T13:56:50Z,2023-02-05T16:53:53Z,,
Wafflefrites,1.0,,27,0,127.0,,2022-05-04T22:17:55Z,2023-01-05T05:59:37Z,,
Jayen466,1.0,,25,0,54.0,,2006-04-18T16:47:56Z,2016-04-06T03:14:36Z,,
Noble Attempt,1.0,,53,0,315.0,,2024-05-23T05:28:27Z,2024-06-22T18:03:01Z,,
Citation bot,1.0,,37,0,21928.0,,2008-09-21T02:34:54Z,,,
Durranistan,1.0,,295,0,364.0,,2021-10-28T06:17:16Z,2022-01-11T11:17:15Z,,
Rainsage,1.0,,21,0,147.0,,2023-12-03T01:15:00Z,2024-06-13T01:14:38Z,,
Levivich,1.0,,27,0,313.0,,2018-11-12T05:10:43Z,2018-12-12T05:50:00Z,,
Kentucky Rain24,1.0,1.0,8,0,29.0,0.0,2024-02-22T20:20:44Z,2024-05-22T02:02:24Z,,
Monk of Monk Hall,1.0,,38,0,73.0,,2022-02-25T19:31:11Z,2024-03-14T01:55:00Z,,
Pachu Kannan,1.0,1.0,1188,1320,565.0,97.0,2021-01-08T07:34:00Z,2021-04-23T15:23:41Z,,
Achmad Rachmani,1.0,,4,0,338.0,,2014-04-03T06:10:04Z,2022-05-29T01:46:14Z,,
Pppery,1.0,,2,0,423.0,,2016-04-07T18:25:34Z,2025-03-12T19:49:37Z,,
Alien333,1.0,,0,0,475.0,,2021-05-08T12:13:27Z,2024-06-15T11:16:26Z,,
Gaismagorm,1.0,,0,0,479.0,,2022-09-27T13:24:05Z,2024-01-25T17:05:38Z,,
Chaotic Enby,1.0,,2,0,540.0,,2022-04-23T07:56:32Z,2022-09-28T13:48:48Z,,
216.98.75.64,1.0,,2,0,2.0,,,,,
Jebiguess,1.0,,2,0,69.0,,2020-10-16T02:08:25Z,2022-08-09T19:49:21Z,1.0,
Porrima82,1.0,,0,0,7.0,,2021-08-03T18:30:02Z,,,
Abductive,1.0,1.0,5,0,197.0,0.0,2009-05-19T19:08:47Z,2016-04-06T14:24:53Z,,
SafariScribe,1.0,,0,0,5758.0,,2024-01-13T19:51:14Z,2024-02-12T23:12:03Z,,
Bernanke's Crossbow,1.0,,0,0,188.0,,2019-03-13T20:34:27Z,2020-10-18T03:17:54Z,,
Omnipaedista,1.0,,7,0,159.0,,2008-12-14T06:02:32Z,2016-04-06T11:47:40Z,,
M Waleed,1.0,,97,0,438.0,,2024-03-07T08:16:36Z,2024-04-06T13:28:22Z,,
Ainty Painty,1.0,,25,0,139.0,,2018-09-16T16:01:08Z,2018-10-16T16:46:08Z,,
Xoak,1.0,,3,0,15.0,,2015-08-11T04:43:29Z,2023-03-31T07:32:41Z,,
Wiiformii,1.0,,2,0,573.0,,2022-01-24T23:58:15Z,2024-04-04T19:30:24Z,,
BilledMammal,1.0,1.0,88,770,890.0,12.0,2019-04-24T05:03:07Z,2021-07-03T05:11:48Z,,
Mooonswimmer,1.0,,4,0,232.0,,2021-06-15T23:26:55Z,2021-07-16T23:21:26Z,,
The Great Mule of Eupatoria,1.0,,2,0,24.0,,2021-09-28T07:49:47Z,2022-02-05T04:06:33Z,,
Isabelle Belato,1.0,,6,0,256.0,,2009-11-04T18:15:33Z,2023-11-02T12:23:00Z,,
178.139.230.82,1.0,,5,0,17.0,,,,,
FlightTime,1.0,,0,0,300.0,,2008-11-19T21:26:48Z,2016-04-05T23:29:34Z,,
Enhazaam,1.0,,0,0,19.0,,2024-06-09T13:39:33Z,2024-12-10T19:27:10Z,,
AnomieBOT,1.0,,11,0,13338.0,,2008-08-07T17:09:33Z,,,
Davemck,1.0,,4,0,912.0,,2005-07-10T19:57:09Z,2016-04-08T15:55:23Z,,
RAN1,1.0,,0,0,20.0,,2009-12-14T03:17:14Z,2017-08-26T20:24:33Z,,
CommunityNotesContributor,1.0,,40,0,577.0,,2023-11-10T22:15:42Z,2023-12-11T13:54:51Z,,
GeoffreyA,1.0,,9,0,9.0,,2012-01-04T09:13:23Z,2024-03-06T16:27:09Z,,
GordonGlottal,1.0,1.0,54,46,149.0,14.0,2018-05-10T14:25:27Z,2021-02-16T04:26:57Z,,
Catleeball,1.0,,4,0,6.0,,2016-04-07T01:05:29Z,2023-07-27T07:07:54Z,,
Lowercase sigmabot III,1.0,,3,0,6247.0,,2012-09-16T06:41:27Z,,,
David A,1.0,,19,0,50.0,,2006-02-01T18:38:55Z,2016-04-11T20:20:27Z,,
Voorts,1.0,,2,0,288.0,,2022-03-13T05:01:36Z,2025-03-16T00:12:06Z,,
Elli,1.0,,2,0,485.0,,2014-02-23T12:11:37Z,2025-03-13T18:41:00Z,,
Spirit of Eagle,1.0,,2,0,3.0,,2012-05-22T00:06:20Z,2016-04-21T04:43:23Z,,
Chino-Catane,1.0,,14,0,60.0,,2020-11-16T15:15:57Z,2024-06-07T20:48:03Z,,
Deinocheirus,1.0,,0,0,7.0,,2008-04-23T16:50:05Z,2016-04-08T16:49:17Z,,
Kinsio,1.0,,11,0,65.0,,2021-08-26T01:09:10Z,,1.0,
XDanielx,1.0,1.0,52,36,97.0,2.0,2007-07-14T07:24:21Z,2024-03-01T08:42:00Z,,
Qwerfjkl (bot),1.0,,0,0,10804.0,,2021-09-18T07:26:16Z,,,
NadVolum,1.0,2.0,5,0,47.0,,2021-08-18T15:29:38Z,2021-10-16T19:57:29Z,,
Reenem,1.0,,47,0,65.0,,2008-07-13T23:03:22Z,2016-04-06T10:02:08Z,,
Genabab,1.0,,11,0,49.0,,2021-10-07T07:56:27Z,2023-08-19T22:55:34Z,,
Wretchskull,1.0,,0,0,5.0,,2018-09-19T17:56:22Z,2021-01-02T20:34:58Z,,
טבעת-זרם,1.0,,2,0,7.0,,2008-06-03T20:38:45Z,2016-06-16T13:09:32Z,,1.0
Nori2001,1.0,,4,0,11.0,,2016-09-03T23:59:08Z,2022-12-02T00:30:49Z,,
PBZE,1.0,,0,0,51.0,,2018-09-27T23:00:43Z,2021-01-26T04:11:23Z,,
WikiCleanerBot,1.0,,0,0,7159.0,,2013-04-20T08:26:16Z,2016-09-06T02:26:55Z,,
Borgenland,1.0,,180,0,1202.0,,2022-06-21T16:23:32Z,2022-07-30T17:06:09Z,,
Idulatria,1.0,,0,0,30.0,,2019-04-02T05:38:16Z,2021-04-23T20:29:14Z,,
Pdhadam,1.0,,0,0,85.0,,2017-10-17T02:50:48Z,2021-05-07T11:27:32Z,,
Cgixn,1.0,,5,0,7.0,,2015-07-03T08:01:49Z,2024-05-28T04:27:19Z,,
MainlyTwelve,1.0,,0,0,231.0,,2006-05-23T00:20:18Z,2016-04-06T00:14:39Z,,
Zakary2012,1.0,1.0,6,0,77.0,0.0,2023-09-01T05:25:49Z,2024-07-13T00:13:43Z,,
ThingsCanOnlyGetWetter,1.0,,34,0,2892.0,,2024-06-02T21:09:02Z,2024-07-03T05:50:17Z,,
Alaexis,1.0,1.0,13,21,98.0,7.0,2006-09-27T19:44:54Z,2016-04-26T18:29:24Z,,
Pinchme123,1.0,,2,0,37.0,,2009-09-28T05:53:49Z,2020-08-03T02:01:46Z,,
TimeEngineer,1.0,,2,0,3.0,,2013-03-06T14:44:58Z,2021-03-15T21:01:18Z,,
SPECIFICO,1.0,1.0,0,4,38.0,8.0,2012-09-01T13:42:12Z,2016-04-05T23:20:25Z,,
Golem469,1.0,,4,0,69.0,,2023-11-10T01:48:53Z,2024-05-25T14:46:30Z,,
David O. Johnson,1.0,,24,0,521.0,,2010-12-19T01:37:50Z,2016-04-06T04:25:59Z,,
UtoD,1.0,,6,0,11.0,,2014-12-06T03:46:18Z,2016-11-23T04:12:18Z,,
Family27390,1.0,,4,0,832.0,,2020-07-15T18:44:39Z,2022-11-25T11:47:04Z,,
Foxhound45,1.0,,6,0,19.0,,2023-01-10T13:29:48Z,2024-01-05T18:58:59Z,,
ABHammad,1.0,,0,0,8.0,,2022-09-20T16:42:22Z,2023-02-15T05:31:24Z,,
DonBeroni,1.0,,0,0,587.0,,2020-12-14T13:11:03Z,2021-09-14T10:54:49Z,,
Galamore,1.0,,18,0,52.0,,2023-12-25T10:04:36Z,2024-03-26T07:13:43Z,,
Andy02124,1.0,,0,0,62.0,,2021-05-31T15:40:11Z,2023-01-22T18:58:16Z,,
Whatever748,1.0,,4,0,7.0,,2020-02-10T06:57:40Z,2021-05-11T04:35:19Z,,
Figureofnine,1.0,,8,0,75.0,,2010-04-29T22:19:25Z,2016-04-19T22:25:24Z,,
Linkin Prankster,1.0,,86,0,134.0,,2022-05-17T15:32:35Z,2022-10-05T09:21:01Z,,
Yapperbot,1.0,,0,0,51.0,,2020-05-05T15:41:24Z,,,
Kowal2701,1.0,,5,0,254.0,,2023-02-02T18:20:37Z,2024-02-22T17:48:47Z,,
Totalstgamer,1.0,,0,0,13.0,,2019-02-14T16:10:52Z,2021-03-22T12:49:30Z,,
Another Believer,1.0,,21,0,2550.0,,2007-11-25T16:58:44Z,2016-04-05T23:57:34Z,,
